"locus_tag","logFC","logCPM","LR","PValue","q.value"
"BW25113_4266",-0.158332661059852,8.46597951677438,0.787864169994227,0.374746735900627,0.79773612548587
"BW25113_4267",-0.0641355558066142,9.71844485555851,0.130044924062661,0.718385464659232,0.934017536060998
"BW25113_4268",-0.557482755828985,7.50001782077238,8.65850121439306,0.00325538952305507,0.0487215200633355
"BW25113_4269",-0.0159616229801984,7.37553780087928,0.00611762376751024,0.937656839392597,0.98622803383748
"BW25113_4270",-0.506747553285992,3.48985871798667,1.86306111212611,0.172271919389836,0.585578532773416
"BW25113_4271",-0.0281596104072707,9.92783435328469,0.0278980179016921,0.867348806358107,0.972851527006724
"BW25113_4575",0.0629394754304197,9.50403375231218,0.132534672885662,0.71581834430995,0.933572681151659
"BW25113_4277",0.215349921925029,6.22823062115712,1.04550183839238,0.306545333156609,0.747448833611647
"BW25113_4278",-0.343108828957637,8.30467357620811,3.28073717104138,0.0700974374385517,0.369948449428988
"BW25113_4279",-3.72760101183215,1.84897879038145,16.1716832899125,5.78524940355428e-05,0.00177134621050811
"BW25113_4280",0.144263733598926,5.91402235205281,0.256383229257184,0.612615884593527,0.911064154595846
"BW25113_4281",-0.513274303150756,7.98485719487856,4.60269974760916,0.0319216501268805,0.235839243789763
"BW25113_4282",-0.0575297309600801,8.36228738458861,0.0617321217084452,0.803778904293679,0.959495411065858
"BW25113_4623",-0.32633539881748,8.30427670596268,1.90443612711076,0.167582614663218,0.578462880735084
"BW25113_4561",0.0505951145472205,5.13490304873138,0.0270151582426958,0.869445478989107,0.973083727925185
"BW25113_4286",-0.0147070677497541,5.65474629374769,0.00379944938449484,0.950849781882833,0.989426147364604
"BW25113_4287",-0.640392004390198,7.6738512721476,8.15877026289202,0.00428534185973748,0.0600996720258987
"BW25113_4288",-0.128381375788249,7.73364607881624,0.484277453485783,0.486491167757638,0.860596964626718
"BW25113_4289",-0.399001911869361,7.97965830142696,4.28625640454851,0.0384216759135811,0.265140541698477
"BW25113_4290",-0.0314566667466692,7.28249961209214,0.0252193870779989,0.873821618685462,0.973637050849612
"BW25113_4291",-0.209127704371633,9.12828791038979,1.47443338790759,0.22464750555921,0.649647544915638
"BW25113_4292",-0.444873438032904,7.5844135988268,5.73383748238997,0.0166410797063138,0.154150971598209
"BW25113_4293",-0.0605062838139412,7.27299555156453,0.0829072452312989,0.773395589539305,0.948751416452879
"BW25113_4294",0.355882991501812,5.6810091272115,1.9136081592307,0.166563008736893,0.578427903068121
"BW25113_4576",0.0788465386910587,7.23915312755272,0.168708705941667,0.681261980476114,0.923009162275809
"BW25113_4295",-0.280636227218667,8.23633260768283,2.49605158345811,0.114132119788214,0.490042538657128
"BW25113_4296",-0.100472058837045,10.0317614945862,0.334012531193444,0.563305862296809,0.89379777027908
"BW25113_4297",-0.21075885348722,9.82878074672198,1.50590427204868,0.219765123399383,0.643414532813815
"BW25113_4298",-0.128066533671435,9.06284110067421,0.541528751532329,0.46179985194607,0.840417062684069
"BW25113_4299",0.000923179885607738,6.21413364375552,1.49792143222527e-05,0.996911955894422,0.998654808964167
"BW25113_4300",0.277101154736659,8.2535339694207,1.8734310073173,0.171082638765552,0.583018236269015
"BW25113_4301",0.00416934835616133,7.6454500002524,0.000491782840427391,0.982307420663595,0.995937312657355
"BW25113_4302",-0.121678529805367,6.99440654877066,0.188749673444338,0.66395929701715,0.921820955464102
"BW25113_4624",-0.18751660700621,3.03403422603667,0.200090740920707,0.654647612534238,0.91999090569879
"BW25113_4303",-0.623102040744352,7.31436177159481,8.0427040314319,0.0045687287342401,0.0621192235696171
"BW25113_4304",0.100401467106459,8.59944390841965,0.251176382723802,0.616247965638381,0.911064154595846
"BW25113_4565",-0.204611480220479,7.20411838843988,0.582110088012647,0.445486420359497,0.833028453175731
"BW25113_4305",-0.0610101329313543,9.10478721007851,0.118657457376113,0.73049517127937,0.942573100791809
"BW25113_4656",-0.110597893216066,6.75754676578035,0.293033673227121,0.58828300773408,0.902202566110546
"BW25113_4306",-0.300606352865641,7.60407649300483,2.42999489165223,0.119033286357537,0.498248319698033
"BW25113_4307",0.0686187859127408,7.4081943206273,0.0726100758428547,0.787573743216528,0.954656477498184
"BW25113_4566",0.15169027633163,7.57281658092424,0.651062470331156,0.419733074664001,0.819525063368587
"BW25113_4657",0.227735830243369,9.57902965923026,1.58121746596184,0.208585414488675,0.630282426351034
"BW25113_4308",0.124146847413502,10.9306324980444,0.534452973504855,0.464740729896078,0.841880831757967
"BW25113_4309",0.161630190836215,10.6388523447571,0.891819370624063,0.344984751546973,0.772923812522517
"BW25113_4310",0.108926569099055,9.5744142620305,0.408180691601299,0.522894361724368,0.872903125796349
"BW25113_4311",0.325259642421769,7.71358316312048,3.06487734181344,0.0800011999775033,0.402429308928361
"BW25113_4312",0.193977938431033,7.88853502260105,1.16469488499071,0.280493986320642,0.719903204233019
"BW25113_4313",-0.192484978603946,8.78601253598582,0.977728165205825,0.322760329906734,0.759194076226392
