"locus_tag","logFC","logCPM","Pvalue","q.value"
"BW25113_3928",-0.204132688606514,7.13330102658213,0.806612460861524,0.369123676751873
"BW25113_3929",0.0154731593712786,7.89831447037248,0.0056400722392152,0.940134818134456
"BW25113_3930",-0.530117358050893,8.86015417637955,7.27060004360436,0.00700923831472485
"BW25113_3931",-0.326784468713524,9.26251877817911,2.75333435874708,0.0970518432882736
"BW25113_3932",-0.227630696059961,8.2250925845363,1.28611833287114,0.256764526648204
"BW25113_3933",0.0272862888639582,8.55410476689377,0.0170061678977547,0.896243875870832
"BW25113_3934",-0.110385142438797,9.11655613043805,0.315491746548773,0.574329620336991
"BW25113_3935",-0.731348265657114,4.13275845411424,4.78239843849393,0.0287520482316742
"BW25113_3936",-0.386745453823474,3.79497784648884,1.18908442160174,0.275514317108404
"BW25113_3937",-0.0128671430362943,8.11402410357364,0.00369280688076401,0.9515436016199
"BW25113_3938",-0.90279127375348,5.00565797573721,11.4532504728321,0.000713690502405722
"BW25113_3939",-0.083207167797933,9.09370625095167,0.181427213701685,0.670149573840375
"BW25113_3940",-0.120005003983915,9.31940608388409,0.377973050837083,0.538690026425379
"BW25113_3941",0.194324352855585,8.63650409507698,0.927952434412425,0.335395549522225
"BW25113_3942",0.136090227871024,10.4216403097786,0.497105063218939,0.480774901560861
"BW25113_3943",0.0430591418144637,8.70564966785849,0.0393106098934792,0.842834577921063
"BW25113_3944",-0.0488140673808616,8.15419380689449,0.0559785202591172,0.812968824975796
"BW25113_3945",0.104453585892311,9.00662547077784,0.23745089533984,0.626053305006932
"BW25113_3946",-0.0220270422083485,8.37817293653817,0.0116629969176287,0.913999376040303
"BW25113_3947",0.115428325872915,10.1408325665198,0.337263795790179,0.561412884945291
"BW25113_3949",0.258205515630281,9.48655468670263,1.39838262512852,0.23699455967446
"BW25113_3950",0.130027005087726,6.40920106775969,0.320223248849796,0.571473511463072
"BW25113_3951",0.127394909173681,10.0702303032407,0.428133682639633,0.512906145506046
"BW25113_3952",0.159456506264272,8.76977303933852,0.646759231486833,0.421273727320477
"BW25113_3953",0.0337290392359712,7.27942639996942,0.0199157326448294,0.887772685900993
"BW25113_3954",-0.261945314758411,7.70071037582045,1.3179110728946,0.250967292132226
"BW25113_3955",-0.0988818226187504,10.3191186389658,0.264696622451929,0.606911717342795
"BW25113_3956",-0.0397530691574233,10.4996261353131,0.0331833822963858,0.855454757741849
